village,lat,lon
12th Avenue,47.60831512,-122.3173448
23rd & Union-Jackson,47.60314511,-122.306682
Admiral,47.58234954,-122.3864201
Aurora-Licton Springs,47.69685401,-122.3459766
Ballard,47.67059299,-122.3826035
Ballard-Interbay-Northend,47.65972606,-122.3720196
Belltown,47.61443468,-122.3473412
Bitter Lake Village,47.72856031,-122.3506528
Capitol Hill,47.62031626,-122.3198659
Chinatown-International District,47.59797954,-122.3253079
Columbia City,47.55949393,-122.2885288
Commercial Core,47.60779193,-122.3357634
Crown Hill,47.69012456,-122.377021
Denny Triangle,47.61683573,-122.3319319
Eastlake,47.64085403,-122.3256253
First Hill,47.60790794,-122.3260425
Fremont,47.6518068,-122.3475812
Greater Duwamish,47.57516743,-122.3335259
Green Lake,47.67949638,-122.3250026
Greenwood-Phinney Ridge,47.69147943,-122.3558872
Lake City,47.71746596,-122.2949054
MLK at Holly St,47.53917935,-122.2885706
Madison-Miller,47.61973216,-122.3072317
Morgan Junction,47.54401147,-122.3865405
North Beacon Hill,47.585549,-122.3143521
North Rainier,47.58542942,-122.2975735
Northgate,47.70609738,-122.3266853
Outside Seattle,47.56009396,-122.1843592
Outside Villages,47.63845644,-122.3352405
Pike/Pine,47.61459624,-122.3210117
Pioneer Square,47.60065827,-122.3324547
Rainier Beach,47.52619063,-122.2703821
Ravenna,47.66520562,-122.3038576
Roosevelt,47.67705298,-122.3140814
South Lake Union,47.61880896,-122.3379719
South Park,47.52498328,-122.3203209
University Campus,47.65444945,-122.3095013
University District Northwest,47.66148179,-122.3154694
Upper Queen Anne,47.63125611,-122.358828
Uptown,47.62371752,-122.3565409
Wallingford,47.66116735,-122.3394145
West Seattle Junction,47.5611362,-122.3824611
Westwood-Highland Park,47.52341843,-122.3629641
